pick_up_zone,avg_trip_distance,avg_fare
Upper West Side South,2.281803493582904,14.464063246247802
Van Cortlandt Park,7.714285714285714,31.38095238095238
Van Cortlandt Village,8.701960784313725,34.67058823529412
Van Nest/Morris Park,421.5049019607843,30.387254901960784
Washington Heights North,52.40373280943025,26.346758349705304
Washington Heights South,21.60545193687231,25.087757054041127
West Brighton,13.0,73.0
West Chelsea/Hudson Yards,2.4197904176007508,16.73790035277966
West Concourse,40.91724137931035,28.32551724137931
West Farms/Bronx River,309.5140186915888,30.72897196261682
West Village,3.1387606500769434,15.569555480488933
Westchester Village/Unionport,6.765258215962441,28.676056338028168
Whitestone,8.126436781609195,31.080459770114942
Willets Point,7.526315789473684,42.60526315789474
Williamsbridge/Olinville,8.980716253443527,35.52617079889807
Williamsburg (North Side),4.588092345078979,24.940866747671123
Williamsburg (South Side),4.649639089394781,26.146029983342586
Windsor Terrace,6.445205479452055,32.23287671232877
Woodhaven,7.048034934497816,32.17903930131004
Woodlawn/Wakefield,10.189743589743589,38.205128205128204
Woodside,3.771799628942486,22.70624613481756
World Trade Center,7.005202312138728,24.042774566473987
Yorkville East,5.431208158668586,14.978915097290871
Yorkville West,4.605595147129914,14.041480187752429
